Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Sierra Leone,9.9,13.3,21.3,75.6,0.2,41,9,298,1.5,39,61,0.5,1.1,41,2.4
Singapore,100,100,18.8,,10.3,28,5,47,0.2,90,10,0.1,0.1,78,5.5
Sint Maarten (Dutch part),,,,,19.5,,,19,,,,,,,6.8
Slovak Republic,99.8,82.5,17.4,,5.7,38,23,6,0.1,86,14,0.1,0.1,54,6.5
Slovenia,98.1,83,15.9,,6.2,25,20,5,0.1,,,,,,5.9
Solomon Islands,,,11.8,,0.3,,,74,,,,,,,19
Somalia,,,31.8,73.6,0,,,262,0.1,41,59,0.1,0.1,30,5.1
South Africa,,,25.1,23,9,33,8,520,20.4,38,62,3.7,11.3,62,12.7
South Sudan,,,44.8,95.6,0.1,,,146,2.5,41,59,0.7,1.2,16,10.2
Spain,98.4,96.6,9.7,,5,31,27,9,0.3,82,18,0.1,0.1,84,6.9
Sri Lanka,,,14,,0.9,27,0,64,0.1,70,30,0.1,0.1,45,10.7
St. Kitts and Nevis,,,,,4.5,,,0,,,,,,,13.3
St. Lucia,,,22.4,,2.3,,,3,,,,,,,11.6
St. Martin (French part),,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,22.1,,1.9,,,6,,,,,,,11.6
Sudan,,,54.1,91.6,0.3,,,71,0.2,53,47,0.1,0.1,15,22.1
Suriname,,,25.3,7.3,3.6,43,7,38,1.4,57,43,0.3,0.3,52,12.5
Sweden,99.9,93.4,6.1,,4.5,19,19,6,,,,,,,4.8
Switzerland,95.5,99.5,10.3,,4.3,29,23,6,,,,,,,5.7
Syrian Arab Republic,,,43.7,19.3,1.6,,,19,0.1,69,31,0.1,0.1,20,13.5
Tajikistan,47.9,,43.4,,0.6,,,84,0.2,72,28,0.1,0.1,46,6.1
Tanzania,,25.4,28.4,50.7,0.2,27,3,253,4.6,40,60,1.2,2.2,71,5.7
Thailand,,,26.3,25,4.6,39,2,153,1.1,56,44,0.3,0.2,75,7
Timor-Leste,,,20,,0.4,78,6,498,,,,,,,6.7
Togo,,,37.1,51.2,0.4,14,1,36,2.3,36,64,0.5,1,60,2.4
Tonga,,,11,,1.2,44,12,10,,,,,,,15.7
Trinidad and Tobago,,,24.2,,34,,,21,,,,,,,11
Tunisia,92.7,78.1,38.5,8,2.6,66,1,35,0.1,67,33,0.1,0.1,39,8.5
Turkey,,65.2,44.5,11.9,4.5,41,14,16,,,,,,,11.1
Turkmenistan,93.9,,21.7,,12.5,,,46,,,,,,,6.1
Turks and Caicos Islands,,,,,5.8,,,6,,,,,,,
